202	7 (N S E F U A M)
Lophanthera_lactescens	0100000
Elatine_americana2266	1000000
Elatine_chilensis_2271	1000000
Elatine_ecuadoriensis2280	0100000
Tetrapterys_sericea692	0100000
Heteropterys_ternstroemiifolia	0100000
Mionandra_camareoides	0100000
Blepharandra_fimbriata712	0100000
Mascagnia_stannea99	1100000
Aspicarpa_pulchella86	0100000
Diplopterys_cabrerana274	0100000
Elatine_brachysperma2267	1000000
Coleostachys_genipifolia	0100000
Burdachia_sphaerocarpa	0100000
Bergia_pentanthesa_2231	0001000
Heteropterys_trichanthera428	0100000
Byrsonima_triopterifolia641	0100000
