"","mean_age","NRI","local","coords.LON","coords.LAT"
"1001",1e-05,0,"temperate",-63.716552734375,57.123596189603
"1002",1e-05,0,"temperate",-62.7355485342192,57.1305799385036
"1003",1e-05,0,"temperate",-61.9077226010953,57.0296865775679
"1004",1e-05,0,"temperate",-160.618894215348,55.8607519018239
"1005",1e-05,0,"temperate",-159.700103093121,56.1637014403676
"1006",1e-05,0,"temperate",-158.797260384685,56.3151566174262
"1007",1e-05,0,"temperate",-134.031382825268,56.3570466712754
"1008",1e-05,0,"temperate",-132.897421431373,55.8551073438402
"1009",1e-05,0,"temperate",-131.695719194052,56.2214507092959
"1010",1e-05,0,"temperate",-130.680196828796,56.1557749079084
"1011",1e-05,0,"temperate",-129.711298583635,56.1285271928548
"1012",1e-05,0,"temperate",-128.716552734375,56.1235961894757
"1013",1e-05,0,"temperate",-127.716552734375,56.1235961894757
"1014",1e-05,0,"temperate",-126.716552734375,56.1235961894757
"1015",1e-05,0,"temperate",-125.716552734375,56.1235961894757
"1016",1e-05,0,"temperate",-124.716552734375,56.1235961894757
"1017",1e-05,0,"temperate",-123.716552734375,56.1235961894757
"1018",1e-05,0,"temperate",-122.716552734375,56.1235961894758
"1019",1e-05,0,"temperate",-121.716552734375,56.1235961894757
"1020",1e-05,0,"temperate",-120.716552734375,56.1235961894757
"1021",1e-05,0,"temperate",-119.716552734375,56.1235961894757
"1022",1e-05,0,"temperate",-118.716552734375,56.1235961894757
"1023",1e-05,0,"temperate",-117.716552734375,56.1235961894757
"1024",1e-05,0,"temperate",-116.716552734375,56.1235961894757
"1025",1e-05,0,"temperate",-115.716552734375,56.1235961894757
"1026",1e-05,0,"temperate",-113.716552734375,56.1235961894757
"1027",1e-05,0,"temperate",-112.716552734375,56.1235961894757
"1028",1e-05,0,"temperate",-111.716552734375,56.1235961894757
"1029",1e-05,0,"temperate",-110.716552734375,56.1235961894757
"1030",1e-05,0,"temperate",-109.716552734375,56.1235961894757
"1031",1e-05,0,"temperate",-108.716552734375,56.1235961894757
"1032",1e-05,0,"temperate",-107.716552734375,56.1235961894757
"1033",1e-05,0,"temperate",-106.716552734375,56.1235961894757
"1111",1e-05,0,"temperate",-119.716552734375,54.1235961891729
"1112",1e-05,0,"temperate",-118.716552734375,54.1235961891728
"1113",1e-05,0,"temperate",-117.716552734375,54.1235961891728
"1114",1e-05,2.50440757938002,"temperate",-116.716552734375,54.1235961891729
"1115",1e-05,2.50440757938002,"temperate",-115.716552734375,54.1235961891728
"1116",1e-05,2.50440757938002,"temperate",-114.716552734375,54.1235961891728
"1117",1e-05,2.50440757938002,"temperate",-113.716552734375,54.1235961891728
"1118",1e-05,2.50440757938002,"temperate",-112.716552734375,54.1235961891728
"1119",1e-05,2.50440757938002,"temperate",-111.716552734375,54.1235961891729
"1120",1e-05,2.50440757938002,"temperate",-110.716552734375,54.1235961891729
"1121",1e-05,2.50440757938002,"temperate",-109.716552734375,54.1235961891729
"1122",1e-05,3.86584288458641,"temperate",-108.716552734375,54.1235961891729
"1123",1e-05,5.16250727024299,"temperate",-107.716552734375,54.1235961891729
"1124",1e-05,5.16250727024299,"temperate",-106.716552734375,54.1235961891729
"1125",1e-05,5.80684348599053,"temperate",-105.716552734375,54.1235961891729
"1126",1e-05,4.75741355199983,"temperate",-104.716552734375,54.1235961891728
"1127",1e-05,4.75741355199983,"temperate",-103.716552734375,54.1235961891729
"1128",1e-05,3.54705525213879,"temperate",-102.716552734375,54.1235961891729
"1129",1e-05,3.54705525213879,"temperate",-101.716552734375,54.1235961891729
"1130",1e-05,3.54705525213879,"temperate",-100.716552734375,54.1235961891729
"1131",1e-05,2.26163171514746,"temperate",-99.716552734375,54.1235961891729
"1132",1e-05,2.26163171514746,"temperate",-98.716552734375,54.1235961891729
"1133",1e-05,2.26163171514746,"temperate",-97.716552734375,54.1235961891729
"1134",1e-05,0,"temperate",-96.7165527343749,54.1235961891729
"1135",1e-05,0,"temperate",-95.716552734375,54.1235961891729
"1136",1e-05,0,"temperate",-94.716552734375,54.1235961891729
"1137",1e-05,0,"temperate",-93.7165527343749,54.1235961891729
"1138",1e-05,0,"temperate",-92.7165527343749,54.1235961891729
"1139",1e-05,0,"temperate",-91.7165527343749,54.1235961891729
"1140",1e-05,0,"temperate",-90.716552734375,54.1235961891729
"1141",1e-05,0,"temperate",-89.716552734375,54.1235961891729
"1142",1e-05,0,"temperate",-88.716552734375,54.1235961891729
"1143",1e-05,0,"temperate",-87.716552734375,54.1235961891728
"1144",1e-05,0,"temperate",-86.716552734375,54.1235961891729
"1145",1e-05,0,"temperate",-85.716552734375,54.1235961891728
"1146",1e-05,0,"temperate",-84.716552734375,54.1235961891729
"1147",1e-05,0,"temperate",-83.7165527343749,54.1235961891728
"1148",1e-05,0,"temperate",-82.7570169092864,54.1021511501345
"1149",1e-05,0,"temperate",-78.6790184398747,54.1435298458135
"1150",1e-05,0,"temperate",-77.716552734375,54.1235961891729
"1151",1e-05,0,"temperate",-76.716552734375,54.1235961891729
"1152",1e-05,0,"temperate",-75.7165527343751,54.1235961891729
"1153",1e-05,0,"temperate",-74.716552734375,54.1235961891729
"1154",1e-05,0,"temperate",-73.716552734375,54.1235961891729
"1155",1e-05,0,"temperate",-72.716552734375,54.1235961891729
"1156",1e-05,0,"temperate",-71.716552734375,54.1235961891729
"1157",1e-05,0,"temperate",-70.716552734375,54.1235961891729
"1158",1e-05,0,"temperate",-69.716552734375,54.1235961891729
"1220",1e-05,0,"temperate",-102.716552734375,52.1235961887959
"1221",1e-05,2.50440757938002,"temperate",-101.716552734375,52.1235961887959
"1222",1e-05,2.50440757938002,"temperate",-100.716552734375,52.1235961887959
"1223",1e-05,2.50440757938002,"temperate",-99.716552734375,52.1235961887959
"1224",1e-05,3.86584288458641,"temperate",-98.7165527343749,52.1235961887959
"1225",1e-05,3.86584288458641,"temperate",-97.716552734375,52.1235961887959
"1226",1e-05,3.86584288458641,"temperate",-96.7165527343751,52.1235961887958
"1227",1e-05,5.16250727024299,"temperate",-95.7165527343751,52.1235961887959
"1228",1e-05,5.16250727024299,"temperate",-94.7165527343749,52.1235961887959
"1229",1e-05,5.16250727024299,"temperate",-93.7165527343749,52.1235961887959
"1230",1e-05,5.16250727024299,"temperate",-92.716552734375,52.1235961887959
"1231",1e-05,5.80684348599053,"temperate",-91.716552734375,52.1235961887959
"1232",1e-05,5.80684348599053,"temperate",-90.7165527343751,52.1235961887959
"1233",1e-05,5.80684348599053,"temperate",-89.716552734375,52.1235961887959
"1234",1e-05,5.80684348599053,"temperate",-88.716552734375,52.1235961887959
"1235",1e-05,5.80684348599053,"temperate",-87.716552734375,52.1235961887959
"1236",1e-05,5.80684348599053,"temperate",-86.716552734375,52.1235961887959
"1237",1e-05,5.80684348599053,"temperate",-85.7165527343749,52.1235961887959
"1238",1e-05,5.80684348599053,"temperate",-84.7165527343749,52.1235961887959
"1239",1e-05,5.80684348599053,"temperate",-83.716552734375,52.1235961887959
"1240",1e-05,5.80684348599053,"temperate",-82.716552734375,52.1235961887959
"1241",1e-05,4.75741355199983,"temperate",-81.7877144336462,52.054723936988
"1242",1e-05,3.819126564946,"temperate",-78.4879057919429,52.0402471025849
"1243",1e-05,3.819126564946,"temperate",-77.716552734375,52.1235961887958
"1244",1e-05,2.26163171514746,"temperate",-76.7165527343749,52.1235961887958
"1245",1e-05,2.26163171514746,"temperate",-75.7165527343749,52.1235961887958
"1246",1e-05,2.26163171514746,"temperate",-74.716552734375,52.1235961887959
"1247",1e-05,2.26163171514746,"temperate",-73.716552734375,52.1235961887959
"1248",1e-05,2.26163171514746,"temperate",-72.716552734375,52.1235961887959
"1249",1e-05,2.26163171514746,"temperate",-71.716552734375,52.1235961887959
"1250",1e-05,2.26163171514746,"temperate",-70.716552734375,52.1235961887959
"1251",1e-05,0,"temperate",-69.716552734375,52.1235961887959
"1252",1e-05,0,"temperate",-68.716552734375,52.1235961887959
"1253",1e-05,0,"temperate",-67.716552734375,52.1235961887959
"1254",1e-05,0,"temperate",-66.716552734375,52.1235961887959
"1255",1e-05,0,"temperate",-65.7165527343749,52.1235961887958
"1256",1e-05,0,"temperate",-64.716552734375,52.1235961887959
"1257",1e-05,0,"temperate",-63.716552734375,52.1235961887959
"1258",1e-05,0,"temperate",-62.716552734375,52.1235961887959
"1259",1e-05,0,"temperate",-61.716552734375,52.1235961887959
"1260",1e-05,0,"temperate",-60.716552734375,52.1235961887958
"1261",1e-05,0,"temperate",-59.716552734375,52.1235961887959
"1262",1e-05,0,"temperate",-58.716552734375,52.1235961887959
"1263",1e-05,0,"temperate",-57.716552734375,52.1235961887958
"1264",1e-05,0,"temperate",-56.7330551849624,52.1392737459366
"1265",1e-05,0,"temperate",-127.83283623585,50.726632549212
"1266",1e-05,0,"temperate",-126.713112263213,51.2642078545104
"1338",1e-05,0,"temperate",-89.716552734375,50.1235961883344
"1339",1e-05,0,"temperate",-88.716552734375,50.1235961883344
"1340",1e-05,2.50440757938002,"temperate",-87.716552734375,50.1235961883344
"1341",1e-05,0,"temperate",-86.716552734375,50.1235961883344
"1342",1e-05,2.50440757938002,"temperate",-85.7165527343749,50.1235961883344
"1343",1e-05,2.50440757938002,"temperate",-84.7165527343749,50.1235961883344
"1344",1e-05,3.86584288458641,"temperate",-83.716552734375,50.1235961883344
"1345",1e-05,5.16250727024299,"temperate",-82.716552734375,50.1235961883344
"1346",1e-05,5.16250727024299,"temperate",-81.716552734375,50.1235961883344
"1347",1e-05,5.16250727024299,"temperate",-80.716552734375,50.1235961883344
"1348",1e-05,5.16250727024299,"temperate",-79.716552734375,50.1235961883345
"1349",1e-05,5.16250727024299,"temperate",-78.716552734375,50.1235961883344
"1350",1e-05,5.16250727024299,"temperate",-77.716552734375,50.1235961883344
"1351",1e-05,5.16250727024299,"temperate",-76.716552734375,50.1235961883344
"1352",1e-05,5.80684348599053,"temperate",-75.716552734375,50.1235961883344
"1353",1e-05,5.80684348599053,"temperate",-74.7165527343749,50.1235961883344
"1354",1e-05,5.80684348599053,"temperate",-73.716552734375,50.1235961883344
"1355",1e-05,5.80684348599053,"temperate",-72.716552734375,50.1235961883344
"1356",1e-05,5.80684348599053,"temperate",-71.716552734375,50.1235961883344
"1357",1e-05,5.80684348599053,"temperate",-70.716552734375,50.1235961883344
"1358",1e-05,5.80684348599053,"temperate",-69.716552734375,50.1235961883344
"1359",1e-05,5.80684348599053,"temperate",-68.716552734375,50.1235961883344
"1360",1e-05,5.80684348599053,"temperate",-67.7165018279379,50.1236253251428
"1361",1e-05,5.80684348599053,"temperate",-66.795545784407,50.3204003041598
"1362",1e-05,5.80684348599053,"temperate",-65.7387931931427,50.4436740703096
"1363",1e-05,5.80684348599053,"temperate",-64.7181375740701,50.4532840776801
"1364",1e-05,3.819126564946,"temperate",-63.6994359604001,50.448164324828
"1365",1e-05,3.819126564946,"temperate",-62.7119255302318,50.4504237589654
"1366",1e-05,3.819126564946,"temperate",-61.7008796893311,50.4042215696107
"1367",1e-05,3.819126564946,"temperate",-60.7257866341561,50.4246790446895
"1368",1e-05,3.819126564946,"temperate",-57.4748372306537,50.0036076401495
"1369",1e-05,3.819126564946,"temperate",-56.8590655520798,50.2148547470632
"1370",1e-05,3.819126564946,"temperate",-125.609200859109,49.341800994181
"1371",1e-05,3.819126564946,"temperate",-124.723037499994,49.0781353823187
"1372",1e-05,3.819126564946,"temperate",-123.943026046118,48.8916601601953
"1373",1e-05,2.26163171514746,"temperate",-122.640056565648,49.2188079125596
"1374",1e-05,0,"temperate",-121.716552734375,49.1235961880695
"1375",1e-05,0,"temperate",-120.716552734375,49.1235961880695
"1376",1e-05,0,"temperate",-119.716552734375,49.1235961880695
"1377",1e-05,0,"temperate",-118.716552734375,49.1235961880695
"1378",1e-05,0,"temperate",-117.716552734375,49.1235961880695
"1379",1e-05,0,"temperate",-116.716552734375,49.1235961880695
"1380",1e-05,0,"temperate",-115.716552734375,49.1235961880695
"1381",1e-05,0,"temperate",-114.716552734375,49.1235961880695
"1382",1e-05,0,"temperate",-113.716552734375,49.1235961880695
"1383",1e-05,0,"temperate",-112.716552734375,49.1235961880695
"1384",1e-05,0,"temperate",-111.716552734375,49.1235961880695
"1385",1e-05,0,"temperate",-110.716552734375,49.1235961880695
"1386",1e-05,0,"temperate",-109.716552734375,49.1235961880695
"1387",1e-05,0,"temperate",-108.716552734375,49.1235961880695
"1450",1e-05,0,"temperate",-68.6623086434671,48.0185036246329
"1451",1e-05,0,"temperate",-67.716552734375,48.1235961877807
"1452",1e-05,0,"temperate",-66.7243123469569,48.1256854844722
"1453",1e-05,0,"temperate",-65.6870830726553,48.3527568689993
"1454",1e-05,0,"temperate",-64.8392277417222,48.4160852439626
"1455",1e-05,0,"temperate",-58.6551726767029,48.0511733431252
"1456",1e-05,2.50440757938002,"temperate",-57.7100012709084,48.1334779505015
"1457",1e-05,2.50440757938002,"temperate",-56.716552734375,48.1235961877807
"1458",1e-05,3.819126564946,"temperate",-55.7102264419838,48.1511362927047
"1459",1e-05,3.819126564946,"temperate",-54.7180263080806,48.130768335935
"1460",1e-05,3.819126564946,"temperate",-53.841612000549,48.2369357688755
"1461",1e-05,5.16250727024299,"temperate",-123.67097814521,47.15586260701
"1462",1e-05,5.16250727024299,"temperate",-122.724378376047,47.0843174620019
"1463",1e-05,5.16250727024299,"temperate",-121.716552734375,47.1235961874676
"1464",1e-05,5.16250727024299,"temperate",-120.716552734375,47.1235961874676
"1465",1e-05,5.16250727024299,"temperate",-119.716552734375,47.1235961874677
"1466",1e-05,5.80684348599053,"temperate",-118.716552734375,47.1235961874676
"1467",1e-05,5.80684348599053,"temperate",-117.716552734375,47.1235961874676
"1468",1e-05,5.80684348599053,"temperate",-116.716552734375,47.1235961874676
"1469",1e-05,5.80684348599053,"temperate",-115.716552734375,47.1235961874677
"1470",1e-05,5.80684348599053,"temperate",-114.716552734375,47.1235961874677
"1471",1e-05,5.80684348599053,"temperate",-113.716552734375,47.1235961874677
"1472",1e-05,5.80684348599053,"temperate",-112.716552734375,47.1235961874676
"1473",1e-05,5.80684348599053,"temperate",-111.716552734375,47.1235961874676
"1474",1e-05,5.80684348599053,"temperate",-110.716552734375,47.1235961874676
"1475",1e-05,5.80684348599053,"temperate",-109.716552734375,47.1235961874676
"1476",1e-05,5.80684348599053,"temperate",-108.716552734375,47.1235961874676
"1477",1e-05,5.80684348599053,"temperate",-107.716552734375,47.1235961874676
"1478",1e-05,5.80684348599053,"temperate",-106.716552734375,47.1235961874677
"1479",1e-05,4.75741355199983,"temperate",-105.716552734375,47.1235961874676
"1480",1e-05,3.819126564946,"temperate",-104.716552734375,47.1235961874676
"1481",1e-05,3.819126564946,"temperate",-103.716552734375,47.1235961874676
"1482",1e-05,3.819126564946,"temperate",-102.716552734375,47.1235961874677
"1483",1e-05,3.819126564946,"temperate",-101.716552734375,47.1235961874677
